Time:0.0539443 Coverage:0.0248901
Time:0.490088 Coverage:0.0262912
Time:0.935878 Coverage:0.031613
Time:1.37741 Coverage:0.0420967
Time:1.8251 Coverage:0.0610192
Time:2.25643 Coverage:0.0652277
Time:2.70332 Coverage:0.074236
Time:3.15731 Coverage:0.0840067
Time:3.59216 Coverage:0.0845886
Time:4.19782 Coverage:0.0852201
Time:4.44284 Coverage:0.0869978
Time:4.8786 Coverage:0.0913982
Time:5.31637 Coverage:0.0986009
Time:5.75941 Coverage:0.106923
Time:6.20477 Coverage:0.115398
Time:6.64709 Coverage:0.124549
Time:7.09141 Coverage:0.129794
Time:7.53306 Coverage:0.136707
Time:7.78039 Coverage:0.137305
Time:8.21781 Coverage:0.138232
Time:8.65845 Coverage:0.139973
Time:9.10939 Coverage:0.152198
Time:9.55494 Coverage:0.162713
Time:9.99651 Coverage:0.166067
Time:10.4368 Coverage:0.171328
Time:10.875 Coverage:0.172849
Time:11.3206 Coverage:0.173326
Time:11.7607 Coverage:0.176757
Time:12.1975 Coverage:0.182135
Time:12.4617 Coverage:0.182465
Time:14.1951 Coverage:0.1834
Time:15.6048 Coverage:0.184018
Time:16.0392 Coverage:0.18415
Time:16.4809 Coverage:0.185375
Time:16.9311 Coverage:0.196893
Time:17.3757 Coverage:0.207882
Time:17.8281 Coverage:0.22207
Time:18.0802 Coverage:0.224184
Time:18.5581 Coverage:0.226904
Time:18.9964 Coverage:0.230516
Time:19.4326 Coverage:0.234491
Time:19.8681 Coverage:0.238332
Time:20.3036 Coverage:0.241125
Time:20.7521 Coverage:0.241886
Time:21.1902 Coverage:0.251617
Time:21.6382 Coverage:0.258234
Time:22.0742 Coverage:0.259279
Time:22.51 Coverage:0.264253
Time:22.9493 Coverage:0.268115
Time:23.3858 Coverage:0.270324
Time:23.8219 Coverage:0.274722
Time:24.2683 Coverage:0.279784
Time:24.5177 Coverage:0.281923
Time:24.9573 Coverage:0.284394
Time:25.4028 Coverage:0.288373
Time:25.8502 Coverage:0.291405
Time:26.2999 Coverage:0.297054
Time:26.7622 Coverage:0.312858
Time:27.2093 Coverage:0.327604
Time:27.6484 Coverage:0.331697
Time:28.0874 Coverage:0.338488
Time:28.5346 Coverage:0.3461
Time:28.9705 Coverage:0.350119
Time:29.4077 Coverage:0.355585
Time:29.8425 Coverage:0.358321
Time:30.2792 Coverage:0.362728
Time:30.7291 Coverage:0.36915
Time:31.1666 Coverage:0.372277
Time:31.6042 Coverage:0.374189
Time:32.0399 Coverage:0.375684
Time:32.4762 Coverage:0.37626
Time:32.9146 Coverage:0.377691
Time:33.3512 Coverage:0.379164
Time:33.7872 Coverage:0.381074
Time:34.2236 Coverage:0.385019
Time:34.4759 Coverage:0.385991
Time:35.006 Coverage:0.386428
Time:35.4418 Coverage:0.38855
Time:35.8787 Coverage:0.39253
Time:36.124 Coverage:0.395567
Time:36.5588 Coverage:0.399541
Time:36.9994 Coverage:0.404907
Time:37.4336 Coverage:0.409326
Time:37.8687 Coverage:0.414241
Time:38.3052 Coverage:0.421797
Time:38.7425 Coverage:0.429334
Time:39.1817 Coverage:0.4386
Time:39.6229 Coverage:0.448138
Time:40.0621 Coverage:0.453019
Time:40.3114 Coverage:0.459767
Time:40.751 Coverage:0.471194
Time:41.1914 Coverage:0.476714
Time:41.6399 Coverage:0.479184
Time:42.801 Coverage:0.480806
Time:43.2354 Coverage:0.48372
Time:43.6705 Coverage:0.486477
Time:44.1062 Coverage:0.491187
Time:44.5419 Coverage:0.49746
Time:44.9792 Coverage:0.502892
Time:45.4173 Coverage:0.512637
Time:45.6672 Coverage:0.515608
Time:46.1038 Coverage:0.520414
Time:46.5588 Coverage:0.535281
Time:47.0016 Coverage:0.542305
Time:47.4376 Coverage:0.543821
Time:47.8724 Coverage:0.545082
Time:48.3108 Coverage:0.553886
Time:48.5822 Coverage:0.561343
Time:49.0774 Coverage:0.578077
Time:49.5265 Coverage:0.583477
Time:49.9738 Coverage:0.585671
Time:50.4488 Coverage:0.586579
Time:50.9058 Coverage:0.591034
Time:51.3463 Coverage:0.601494
Time:51.7825 Coverage:0.60317
Time:52.2193 Coverage:0.606483
Time:52.6547 Coverage:0.61007
Time:53.1999 Coverage:0.611166
Time:53.6475 Coverage:0.615547
Time:54.086 Coverage:0.62082
Time:54.5206 Coverage:0.624909
Time:54.7632 Coverage:0.625024
Time:55.4187 Coverage:0.626095
Time:57.4186 Coverage:0.62684
Time:57.8572 Coverage:0.627489
Time:58.3118 Coverage:0.631398
Time:58.7558 Coverage:0.643406
Time:59.2062 Coverage:0.650413
Time:59.6453 Coverage:0.652816
Time:60.082 Coverage:0.655039
Time:60.5204 Coverage:0.660523
Time:60.9657 Coverage:0.671775
Time:61.4039 Coverage:0.681085
Time:61.651 Coverage:0.683954
Time:62.0883 Coverage:0.688349
Time:62.5259 Coverage:0.695933
Time:62.9661 Coverage:0.700257
Time:63.4111 Coverage:0.702755
Time:63.8466 Coverage:0.707758
Time:64.2867 Coverage:0.719527
Time:64.7349 Coverage:0.725688
Time:64.9867 Coverage:0.726252
Time:65.4277 Coverage:0.728988
Time:65.8771 Coverage:0.730091
Time:66.3263 Coverage:0.738343
Time:66.7819 Coverage:0.748185
Time:67.2346 Coverage:0.754736
Time:67.6825 Coverage:0.759259
Time:68.1334 Coverage:0.760389
Time:68.5741 Coverage:0.761344
Time:69.0127 Coverage:0.762128
Time:69.4513 Coverage:0.762684
Time:71.1939 Coverage:0.76297
Time:71.6373 Coverage:0.763624
Time:72.0798 Coverage:0.76372
Time:73.8365 Coverage:0.76387
Time:74.2746 Coverage:0.764359
Time:74.7196 Coverage:0.76462
Time:75.1599 Coverage:0.76522
